track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
2LubqRNJIElw2QovuEIlSs;0.412;0.649;0.686;0.0;10;0.254;-7.673;1;0.123;95.928;4;0.67
3EghwWsFE3TZJ9Wo5hPBdM;0.759;0.425;0.283;5.38e-06;2;0.156;-9.177;1;0.0315;94.845;4;0.389
3y9KyJND4OzzaGzU6y4thR;0.145;0.621;0.918;0.0;1;0.346;-1.809;1;0.291;126.319;5;0.79
3w7fHQWYsuFuPWl5j3agSR;0.0374;0.866;0.733;0.000207;5;0.278;-6.808;0;0.161;149.951;4;0.916
6liMzdeRl1ZkS7UZub0XE0;0.938;0.553;0.186;0.0;4;0.123;-10.528;1;0.0419;110.012;4;0.399
2wjpl3AiyoypeuWqgje6hb;0.682;0.633;0.645;2.07e-06;4;0.0736;-11.337;1;0.144;96.801;4;0.91
1kRUFANTyDp0aY86AOxUx4;0.164;0.644;0.791;0.0;1;0.316;-5.578;1;0.274;79.981;4;0.713
32UBYTr4JItNvjfXmzriCw;0.00121;0.482;0.948;0.000257;9;0.153;-5.069;1;0.0776;88.894;4;0.533
1ElOeaMU51Kb0IBTqRJ7bR;0.0113;0.367;0.725;0.00821;5;0.513;-9.73;1;0.0311;177.449;4;0.796
6M8To74NDgKYP8BfJcKhzr;0.00144;0.337;0.991;5.01e-05;8;0.174;-6.097;1;0.103;157.841;3;0.29
6xX5mDOjYeVj0wYYHQSWZb;0.00263;0.316;0.855;0.0;11;0.315;-6.913;1;0.0704;177.305;4;0.762
22GNSrZnQnZwufgpF9KB72;0.996;0.529;0.564;0.369;3;0.372;-12.101;0;0.285;78.946;4;0.569
46vSRU3KPV2VlP9w6EV85w;0.837;0.639;0.324;0.145;9;0.0738;-7.985;1;0.0465;123.28;4;0.391
3WN1jgkntz14WK1kSZIRQZ;0.265;0.782;0.552;9.21e-06;4;0.198;-8.578;1;0.0314;125.037;4;0.658
22GfmeZZUCMHgQNaMJJfxv;0.0597;0.47;0.869;0.0;4;0.711;-6.256;0;0.37;86.403;4;0.249
0Me6yvcdWNZikeJlokBzZT;0.177;0.585;0.873;2.57e-06;2;0.576;-5.56;1;0.0399;139.768;4;0.851
3NN23aQkZGC3wBSubgXskg;0.888;0.514;0.087;0.913;4;0.113;-21.581;0;0.0956;208.476;4;0.608
13gYOnFnqBqRTuwwoC98a0;0.476;0.692;0.788;0.0;0;0.149;-6.881;1;0.138;114.67;4;0.657
6JxbEbRBCrfofgipnIKENu;0.000155;0.484;0.949;0.893;6;0.0771;-1.836;1;0.076;130.164;4;0.47
21WZRiNQyN9wc6dANlxC1Y;0.000112;0.559;0.903;0.931;3;0.497;-6.41;1;0.057;125.004;4;0.801
6655Wiajd05vcDFD3hrAcN;0.978;0.429;0.196;1.85e-05;9;0.135;-14.374;0;0.0371;144.965;4;0.325
2EpqvJ8aga45T4y11w5zth;0.000868;0.403;0.988;3.22e-05;7;0.154;-4.078;1;0.119;89.079;4;0.463
4W6uKhEex0OycjwC7zH0qZ;0.119;0.585;0.649;7.9e-05;0;0.0541;-7.45;1;0.108;171.671;4;0.728
5fgjYbKkE1ym1682CF0w7m;0.651;0.614;0.456;3.87e-06;7;0.1;-9.049;0;0.026;82.505;3;0.302
3AfthOlY83hVgNVfyQhHEg;0.0237;0.771;0.798;0.0;11;0.0952;-10.115;0;0.12;83.031;4;0.918
16Yjz8K40o4Z3DZ1iowXjC;0.000162;0.425;0.933;0.00183;0;0.668;-6.232;1;0.0454;143.93;4;0.707
54LrFqBHyiO6eTQWk1BKr7;0.731;0.354;0.33;1.73e-06;7;0.115;-8.919;1;0.0284;155.736;4;0.153
60N7leQMpfQ5wwiBdhrAzg;0.536;0.74;0.581;0.0;9;0.08;-8.211;1;0.0309;120.164;4;0.562
4QgfXncODUSYqiBptxXbxl;0.0225;0.597;0.368;0.909;7;0.0836;-20.026;1;0.0524;80.993;4;0.895
40WmmvWptVjpRp80gcUBZ4;0.337;0.244;0.356;0.0343;0;0.108;-15.878;0;0.0365;79.36;4;0.0715
6eHgupxpb00Lzygak9eTYQ;0.00434;0.672;0.921;7.4e-05;0;0.287;-5.648;1;0.0723;110.921;4;0.361
605O2l8czBqAaIFp3Yfm5B;0.406;0.143;0.365;0.437;8;0.16;-14.075;1;0.0368;83.906;4;0.181
4cqePRzFdBmAg1pUdPZMx0;0.0122;0.343;0.555;0.00762;3;0.137;-10.915;1;0.0391;82.082;4;0.404
61fJwRlwGLzdWP4DOfXkPL;0.0179;0.554;0.623;0.895;7;0.489;-10.558;1;0.0305;134.972;4;0.439
0yJvWbn8xQKiDZ84VN5lQG;0.06;0.78;0.523;0.0629;9;0.24;-8.884;1;0.051;147.86;4;0.855
54EnV0WX27W2H9IryrzQpn;0.0216;0.69;0.775;0.0;0;0.0951;-1.572;1;0.0354;150.613;4;0.879
6574nNaa478mh1nxEEuaJY;0.582;0.365;0.74;0.17;8;0.299;-7.845;1;0.0696;81.736;1;0.247
1Ib4HsTpFhbh1R1GhQ6aLb;0.125;0.631;0.562;0.0;8;0.468;-13.673;1;0.956;175.238;4;0.729
6wb7iQnUiD1QeK82KDLolx;0.994;0.267;0.19;0.0268;7;0.186;-15.146;1;0.0355;170.86;4;0.27
4Ii6x1WK1c6l0pflnabxIG;0.438;0.715;0.322;0.0;5;0.235;-15.739;0;0.954;83.711;1;0.375
4KzZ5dq0a1xWwY49Ynal2U;0.873;0.402;0.136;0.0;4;0.783;-17.038;1;0.0357;87.052;4;0.31
3URLdhLYPUDbxOIMq74YAP;0.243;0.904;0.642;0.0;10;0.133;-8.495;0;0.273;95.755;4;0.718
1BdYnLISnK68Vfxv2yRCyk;0.89;0.308;0.486;0.0;5;0.183;-10.075;1;0.0477;87.431;4;0.511
2UcpjCU2cpRx7DurSQb7U1;0.000351;0.289;0.971;0.0;9;0.127;-4.889;0;0.147;90.589;4;0.218
2wx0TPBm4I1uxZQpsxA3o2;0.341;0.347;0.913;0.000234;0;0.989;-5.844;1;0.107;123.53;4;0.345
